medcode,readcode,readterm,cat,score
40443,B33..15,Malignant neoplasm of sweat gland,Any malignancy,2
224142,B220000,Malignant neoplasm of cartilage of trachea,Any malignancy,2
9447,BB5j200,[M]Endometrioid carcinoma,Any malignancy,2
71031,B600100,"Reticulosarcoma of lymph nodes of head, face and neck",Any malignancy,2
95458,B300300,Malignant neoplasm of nasal bone,Any malignancy,2
65241,B51y200,"Malignant neoplasm, overlapping lesion of brain",Any malignancy,2
59143,BB2D.00,"[M]Squamous cell carcinoma, large cell, non-keratinising",Any malignancy,2
206168,B540.11,Phaeochromocytoma,Any malignancy,2
24228,B831000,Carcinoma in situ of endocervix,Any malignancy,2
260763,B622600,Sezary's disease of intrapelvic lymph nodes,Any malignancy,2
64309,ByuB100,"[X]Malignant neoplasm of endocrine gland, unspecified",Any malignancy,2
106867,B62F.11,Non-follicular lymphoma,Any malignancy,2
60772,B450z00,Malignant neoplasm of vagina NOS,Any malignancy,2
303108,1621D,PANCOAST TUMOUR,Any malignancy,2
39878,B327300,Malignant melanoma of popliteal fossa area,Any malignancy,2
15211,B630.12,Myelomatosis,Any malignancy,2
9491,B142.11,Anal carcinoma,Any malignancy,2
47656,B803500,Carcinoma in situ of appendix,Any malignancy,2
47862,B213300,Malignant neoplasm of thyroid cartilage,Any malignancy,2
34000,BB80100,[M]Cystadenocarcinoma NOS,Any malignancy,2
55098,B550000,Malignant neoplasm of head NOS,Any malignancy,2
21847,BB5f111,[M]Follicular carcinoma,Any malignancy,2
219899,1608A,MALIGNANT NEOPLASM ETHMOID (SINUS),Any malignancy,2
6806,B12..00,Malignant neoplasm of small intestine and duodenum,Any malignancy,2
94873,BB2A.13,[M]Squamous cell carcinoma of skin NOS,Any malignancy,2
17258,B802000,Carcinoma in situ of cardia of stomach,Any malignancy,2
45760,B325z00,"Malignant melanoma of trunk, excluding scrotum, NOS",Any malignancy,2
206208,B65..00,Myeloid leukaemia,Any malignancy,2
38321,B936.12,Plasmacytoma NOS,Any malignancy,2
99200,BBj7.00,"[M]Hodgkin's disease, nodular sclerosis, cellular phase",Any malignancy,2
34089,B62y400,Malignant lymphoma NOS of lymph nodes of axilla and arm,Any malignancy,2
32024,B030.00,Malignant neoplasm of upper gum,Any malignancy,2
97954,B81y.00,Carcinoma in situ of other specified part respiratory system,Any malignancy,2
98142,B107.00,Siewert type I adenocarcinoma,Any malignancy,2
37510,BBLG.00,[M]Carcinoma in pleomorphic adenoma,Any malignancy,2
39027,ByuC000,[X]Malignant neoplasm of other specified sites,Any malignancy,2
103440,BB3E.00,"[M]Basal cell carcinoma, micronodular",Any malignancy,2
3604,B627.00,Non - Hodgkin's lymphoma,Any malignancy,2
64630,B827z00,Carcinoma in situ of skin of lower limb or hip NOS,Any malignancy,2
21698,B221z00,Malignant neoplasm of main bronchus NOS,Any malignancy,2
43479,B121.00,Malignant neoplasm of jejunum,Any malignancy,2
67949,B48y.00,Malignant neoplasm of other male genital organ,Any malignancy,2
48519,B065.00,Malignant neoplasm of junctional region of epiglottis,Any malignancy,2
256323,1878C,CARCINOMA SEMINAL VESICLES,Any malignancy,2
54956,B50z.00,Malignant neoplasm of eye NOS,Any malignancy,2
292875,1519CL,LINITIS PLASTICA,Any malignancy,2
25961,BB17.00,[M]Large cell carcinoma NOS,Any malignancy,2
31574,BBb0.00,"[M]Glioma, malignant",Any malignancy,2
67914,B337900,Malignant neoplasm of skin of great toe,Any malignancy,2
292873,150 B,SARCOMA OESOPHAGUS,Any malignancy,2
224187,B470200,Seminoma of undescended testis,Any malignancy,2
39717,B81y100,Carcinoma in situ of nasal cavity,Any malignancy,2
780,B46..00,Malignant neoplasm of prostate,Any malignancy,2
68236,B550.00,"Malignant neoplasm of head, neck and face",Any malignancy,2
94005,B615z00,"Hodgkin's disease, mixed cellularity NOS",Any malignancy,2
105020,B628300,Follicular lymphoma grade 3a,Any malignancy,2
67107,B230.00,Malignant neoplasm of parietal pleura,Any malignancy,2
103034,BB5j500,"[M]Endometrioid adenofibroma, malignant",Any malignancy,2
37859,B110z00,Malignant neoplasm of cardia of stomach NOS,Any malignancy,2
96379,B621400,Mycosis fungoides of lymph nodes of axilla and upper limb,Any malignancy,2
201880,186 NT,TUMOUR TESTIS INTERSTITIAL CELL,Any malignancy,2
30165,B18y200,Malignant neoplasm of mesorectum,Any malignancy,2
96445,B300B00,Malignant neoplasm of turbinate,Any malignancy,2
18608,B3...00,"Malig neop of bone, connective tissue, skin and breast",Any malignancy,2
36876,BB5V311,[M]Eosinophil carcinoma,Any malignancy,2
279068,B620700,Nodular lymphoma of spleen,Any malignancy,2
53647,BBn0.13,[M]Myelomatosis,Any malignancy,2
18255,BB5L.00,[M]Adenomatous and adenocarcinomatous polyps,Any malignancy,2
265556,1959AA,MALIGNANT NEOPLASM HEAD,Any malignancy,2
206201,B624300,Leukaemic reticuloend of intra-abdominal lymph nodes,Any malignancy,2
229004,191 MB,MEDULLOBLASTOMA BRAIN,Any malignancy,2
9267,B812.00,Carcinoma in situ of bronchus and lung,Any malignancy,2
219923,2051MC,LEUKAEMIA MYELOCYTIC CHRONIC,Any malignancy,2
303153,2000,SARCOMA RETICULUM-CELL,Any malignancy,2
39863,ZV10214,[V]Personal history of malignant neoplasm of nose,Any malignancy,2
71304,B602z00,Burkitt's lymphoma NOS,Any malignancy,2
7982,B161200,Malignant neoplasm of common bile duct,Any malignancy,2
206211,B675.00,Acute myelofibrosis,Any malignancy,2
15991,B506.00,Malignant neoplasm of choroid,Any malignancy,2
28881,ZV10513,[V]Personal history of malignant neoplasm of kidney,Any malignancy,2
40814,B307200,Malignant neoplasm of tibia,Any malignancy,2
41362,B101.00,Malignant neoplasm of thoracic oesophagus,Any malignancy,2
58973,Byu0.00,"[X]Malignant neoplasm of lip, oral cavity and pharynx",Any malignancy,2
18678,B224000,Malignant neoplasm of lower lobe bronchus,Any malignancy,2
24511,BB09.00,"[M]Malignant tumour, giant cell type",Any malignancy,2
51115,B522.00,Malignant neoplasm of spinal cord,Any malignancy,2
4554,B454.00,Malignant neoplasm of vulva unspecified,Any malignancy,2
65458,B52..00,Malig neop of other and unspecified parts of nervous system,Any malignancy,2
96798,BBd2.12,[M]Meningothelial sarcoma,Any malignancy,2
237953,1959DF,MALIGNANT NEOPLASM HEEL,Any malignancy,2
20685,B346.00,Malignant neoplasm of axillary tail of female breast,Any malignancy,2
8101,BB5a.00,[M]Renal adenoma and carcinoma,Any malignancy,2
57235,B410000,Malignant neoplasm of endocervical canal,Any malignancy,2
48537,B17y.00,Malignant neoplasm of other specified sites of pancreas,Any malignancy,2
34352,BBgG.12,[M]Lymphoblastic lymphoma NOS,Any malignancy,2
26448,B060000,Malignant neoplasm of faucial tonsil,Any malignancy,2
303150,1991C,CARCINOMA,Any malignancy,2
72192,BB5Xz00,[M]Clear cell adenoma or adenocarcinoma NOS,Any malignancy,2
256343,2070BL,LEUKAEMIA BLAST CELL,Any malignancy,2
49301,B6z..00,Malignant neoplasm lymphatic or haematopoietic tissue NOS,Any malignancy,2
91240,B517300,Malignant neoplasm of pons,Any malignancy,2
95421,B45y.00,Malignant neoplasm of other specified female genital organ,Any malignancy,2
59115,B602100,"Burkitt's lymphoma of lymph nodes of head, face and neck",Any malignancy,2
251569,B625100,"Letterer-Siwe disease of lymph nodes of head, face and neck",Any malignancy,2
25310,B808000,Carcinoma in situ of liver,Any malignancy,2
288114,B310.00,"Malig neop of connective and soft tissue head, face and neck",Any malignancy,2
256316,1719RH,RHABDOMYOSARCOMA,Any malignancy,2
1950,BB4..00,[M]Transitional cell papillomas and carcinomas,Any malignancy,2
53103,B410100,Malignant neoplasm of endocervical gland,Any malignancy,2
8386,B11..00,Malignant neoplasm of stomach,Any malignancy,2
46008,B333z00,Malignant neoplasm skin other and unspec part of face NOS,Any malignancy,2
97547,B551200,Malignant neoplasm of intrathoracic site NOS,Any malignancy,2
237942,1719RB,RHABDOMYOSARCOMA BUTTOCK,Any malignancy,2
228300,ZV10600,[V]Personal history of leukaemia,Any malignancy,2
224241,B67z.00,Other specified leukaemia NOS,Any malignancy,2
99572,B312500,Malignant neoplasm of connective and soft tissue of toe,Any malignancy,2
50189,B822.00,Carcinoma in situ skin of ear and external auricular canal,Any malignancy,2
70295,B822z00,Carcinoma in situ skin of ear/external auricular canal NOS,Any malignancy,2
57294,4M3..00,Breslow depth staging for melanoma,Any malignancy,2
206209,B653.00,Myeloid sarcoma,Any malignancy,2
32768,B325100,Malignant melanoma of breast,Any malignancy,2
37969,B335100,"Malignant neoplasm of skin of chest, excluding breast",Any malignancy,2
237951,193 AG,MALIGNANT GOITRE,Any malignancy,2
274657,1519B,SARCOMA STOMACH,Any malignancy,2
97746,B61z800,Hodgkin's disease NOS of lymph nodes of multiple sites,Any malignancy,2
97756,BBl1.00,[M]Sezary's disease,Any malignancy,2
265552,1924NF,NEUROFIBROMATOSIS MALIGNANT,Any malignancy,2
68330,B613100,"Hodgkin's, lymphocytic-histiocytic pred of head, face, neck",Any malignancy,2
12084,B82..00,Carcinoma in situ of skin,Any malignancy,2
269995,B616600,Hodgkin's lymphocytic depletion of intrapelvic lymph nodes,Any malignancy,2
107456,4K2M.00,Crv smr - hi grade dyskaryosis? invasive squamous carcinoma,Any malignancy,2
26413,BB1A.00,[M]Pleomorphic carcinoma,Any malignancy,2
28559,B055z00,Malignant neoplasm of palate NOS,Any malignancy,2
70374,B600300,Reticulosarcoma of intra-abdominal lymph nodes,Any malignancy,2
91037,B06yz00,Malignant neoplasm of other specified site of oropharynx NOS,Any malignancy,2
292910,2104DN,ODONTOMA,Any malignancy,2
210822,2102A,SALIVARY ADENOMA,Any malignancy,2
19318,B112.00,Malignant neoplasm of pyloric antrum of stomach,Any malignancy,2
56694,B828500,"Melanoma in situ of upper limb, including shoulder",Any malignancy,2
70928,B022.00,Malignant neoplasm of sublingual gland,Any malignancy,2
49605,B615.00,"Hodgkin's disease, mixed cellularity",Any malignancy,2
42461,B61zz00,Hodgkin's disease NOS,Any malignancy,2
69951,B055100,Malignant neoplasm of roof of mouth,Any malignancy,2
35457,BB35.00,[M]Basosquamous carcinoma,Any malignancy,2
269926,B20..00,"Malig neop nasal cavities, middle ear and accessory sinuses",Any malignancy,2
98104,B23y.00,Malignant neoplasm of other specified pleura,Any malignancy,2
90201,B62x000,T-zone lymphoma,Any malignancy,2
306062,1991M,MALIGNANCY,Any malignancy,2
260761,B622000,Sezary's disease of unspecified site,Any malignancy,2
73988,B524500,Malignant neoplasm of peripheral nerve of pelvis,Any malignancy,2
105488,B36..00,Local recurrence of malignant tumour of breast,Any malignancy,2
224476,ByuD800,[X]Other specified leukaemias,Any malignancy,2
237935,1520A,MALIGNANT NEOPLASM DUODENUM,Any malignancy,2
98322,BBT7100,"[M]Haemangioendothelioma, malignant",Any malignancy,2
292895,1890BL,NEPHROBLASTOMA,Any malignancy,2
251505,B317.00,"Malignant neoplasm, overlap lesion connective & soft tissue",Any malignancy,2
34409,B010000,Malignant neoplasm of base of tongue dorsal surface,Any malignancy,2
61989,B828X00,Melanoma in situ of other and unspecified parts of face,Any malignancy,2
98483,BBZN.11,[M]Odontogenic fibrosarcoma,Any malignancy,2
50789,B103.00,Malignant neoplasm of upper third of oesophagus,Any malignancy,2
26848,BB5S.00,[M]Respiratory tract adenomas and adenocarcinomas,Any malignancy,2
37724,B056.00,Malignant neoplasm of retromolar area,Any malignancy,2
219900,1620A,NEOPLASM MALIGNANT TRACHEA,Any malignancy,2
283757,1959AE,MALIGNANT NEOPLASM EAR EXTERNAL,Any malignancy,2
72433,BBh0.00,[M]Reticulosarcoma NOS,Any malignancy,2
219922,2050MB,LEUKAEMIA MYELOBLASTIC ACUTE,Any malignancy,2
68641,B517z00,Malignant neoplasm of brain stem NOS,Any malignancy,2
102116,4M73.00,Clark melanoma level 4,Any malignancy,2
30966,B800600,Carcinoma in situ of palate,Any malignancy,2
4388,B020.00,Malignant neoplasm of parotid gland,Any malignancy,2
303152,1991MT,MESOTHELIOMA,Any malignancy,2
63997,B326500,Malignant melanoma of thumb,Any malignancy,2
48253,BBg8.00,"[M]Malignant lymphoma, immunoblastic type",Any malignancy,2
306058,1899C,CARCINOMA URETHRA,Any malignancy,2
69497,B623000,Malignant histiocytosis of unspecified site,Any malignancy,2
37328,B450.00,Malignant neoplasm of vagina,Any malignancy,2
15644,B4A3.00,Malignant neoplasm of urethra,Any malignancy,2
99913,B510300,Malignant neoplasm of globus pallidus,Any malignancy,2
31608,B43y.00,Malignant neoplasm of other site of uterine body,Any malignancy,2
105085,B62E.00,T/NK-cell lymphoma,Any malignancy,2
260777,B673.00,Mast cell leukaemia,Any malignancy,2
35136,B8z..00,Carcinoma in situ NOS,Any malignancy,2
107804,B61z300,Hodgkin's disease NOS of intra-abdominal lymph nodes,Any malignancy,2
34012,B08..00,Malignant neoplasm of hypopharynx,Any malignancy,2
98909,B611100,"Hodgkin's granuloma of lymph nodes of head, face and neck",Any malignancy,2
98911,B200100,Malignant neoplasm of nasal conchae,Any malignancy,2
95644,B241.00,Malignant neoplasm of heart,Any malignancy,2
106003,ByuFC00,[X]Carcinoma in situ of oth+unspecified male genital organs,Any malignancy,2
93762,B42..00,Malignant neoplasm of placenta,Any malignancy,2
67497,B106.00,"Malignant neoplasm, overlapping lesion of oesophagus",Any malignancy,2
98961,BBk2.00,"[M]Malignant lymphoma, centroblastic-centrocytic, follicular",Any malignancy,2
201890,1991A,NEOPLASM MALIGNANT,Any malignancy,2
44228,B801z00,Carcinoma in situ of oesophagus NOS,Any malignancy,2
3028,BB31.00,[M]Basal cell carcinoma NOS,Any malignancy,2
99012,B61z500,Hodgkin's disease NOS of lymph nodes inguinal region and leg,Any malignancy,2
37872,B327400,Malignant melanoma of lower leg,Any malignancy,2
93490,B33z.11,Squamous cell carcinoma of skin NOS,Any malignancy,2
104324,B595.00,Malignant tumour of unknown origin,Any malignancy,2
54627,BBR3.00,[M]Choriocarcinoma combined with teratoma,Any malignancy,2
43619,B334100,Malignant neoplasm of skin of neck,Any malignancy,2
59092,B111z00,Malignant neoplasm of pylorus of stomach NOS,Any malignancy,2
18618,B335300,Malignant neoplasm of skin of abdominal wall,Any malignancy,2
279060,B610400,Hodgkin's paragranuloma of lymph nodes of axilla and arm,Any malignancy,2
62088,BBEG.00,[M]Malignant melanoma in Hutchinson's melanotic freckle,Any malignancy,2
292892,186 C,CARCINOMA TESTIS,Any malignancy,2
57248,B082.00,"Malignant neoplasm aryepiglottic fold, hypopharyngeal aspect",Any malignancy,2
37126,C37y700,"Histiocytosis, unspecified",Any malignancy,2
67342,BB5U100,[M]Adenocarcinoma in villous adenoma,Any malignancy,2
64516,B18y400,Malignant neoplasm of parietal peritoneum,Any malignancy,2
68135,B81y500,Carcinoma in situ of mastoid air cells,Any malignancy,2
51209,B325800,Malignant melanoma of chest wall,Any malignancy,2
8550,B542000,Malignant neoplasm of pituitary gland,Any malignancy,2
45217,B807200,Carcinoma in situ of ileum,Any malignancy,2
37916,B05y.00,Malignant neoplasm of other specified mouth parts,Any malignancy,2
224226,B616300,Hodgkin's lymphocytic depletion intra-abdominal lymph nodes,Any malignancy,2
279084,B63y.00,Other immunoproliferative neoplasms,Any malignancy,2
224223,B610500,Hodgkin's paragranuloma lymph nodes inguinal region and leg,Any malignancy,2
101608,B4A1100,Malignant neoplasm of ureteropelvic junction,Any malignancy,2
42169,BB5cz00,[M]Parathyroid adenoma or adenocarcinoma NOS,Any malignancy,2
219926,2079PC,LEUKAEMIA PLASMA CELL,Any malignancy,2
69720,B823100,Carcinoma in situ of skin of eyebrow,Any malignancy,2
104418,B630400,Solitary plasmacytoma,Any malignancy,2
49360,B031.00,Malignant neoplasm of lower gum,Any malignancy,2
35034,BBGJ.11,[M]Fibroxanthosarcoma,Any malignancy,2
306054,174 A,NEOPLASM MALIGNANT BREAST,Any malignancy,2
51714,B811.00,Carcinoma in situ of trachea,Any malignancy,2
45408,B040.00,Malignant neoplasm of anterior portion of floor of mouth,Any malignancy,2
57177,SN5y100,Malignant hypothermia due to anaesthetic,Any malignancy,2
58121,B014.00,Malignant neoplasm of anterior 2/3 of tongue unspecified,Any malignancy,2
224221,B601600,Lymphosarcoma of intrapelvic lymph nodes,Any malignancy,2
49358,B826300,Carcinoma in situ of skin of hand,Any malignancy,2
18882,B006.00,Malignant neoplasm of overlapping lesion of lip,Any malignancy,2
242369,B602600,Burkitt's lymphoma of intrapelvic lymph nodes,Any malignancy,2
53884,B060z00,Malignant neoplasm tonsil NOS,Any malignancy,2
105925,B62E700,Subcutaneous panniculitic T-cell lymphoma,Any malignancy,2
224219,B600800,Reticulosarcoma of lymph nodes of multiple sites,Any malignancy,2
59152,B315200,Malignant neoplasm of connective and soft tissue of perineum,Any malignancy,2
106597,B61B.00,Lymphocyte-rich classical Hodgkin lymphoma,Any malignancy,2
303096,1533AD,ADENOCARCINOMA SIGMOID COLON,Any malignancy,2
50290,B6z0.00,Kaposi's sarcoma of lymph nodes,Any malignancy,2
279007,B312200,Malig neop connective and soft tissue of popliteal space,Any malignancy,2
303114,1739CS,SQUAMOUS CELL CARCINOMA,Any malignancy,2
306051,1619C,LARYNX CARCINOMA,Any malignancy,2
49023,BBY0.11,[M]Endothelial bone sarcoma,Any malignancy,2
47840,B545100,Malignant neoplasm of aortic body,Any malignancy,2
3710,BBB1.00,[M]Adenolymphoma,Any malignancy,2
237943,1726AN,MALIGNANT MELANOMA ANUS,Any malignancy,2
15543,BB01.00,"[M]Neoplasm, uncertain whether benign or malignant",Any malignancy,2
219921,2050DR,SYNDROME DREYFUS',Any malignancy,2
52029,ByuC800,[X]Malignant neoplasm without specification of site,Any malignancy,2
233340,B620.11,Reticulosarcoma - follicular or nodular,Any malignancy,2
297321,B051200,Malignant neoplasm of upper labial sulcus,Any malignancy,2
102708,ByuF100,[X]Carcinoma in situ of other specified digestive organs,Any malignancy,2
67763,B303400,Malignant neoplasm of costo-vertebral joint,Any malignancy,2
37805,B213100,Malignant neoplasm of cricoid cartilage,Any malignancy,2
27728,BB90.00,"[M]Intraductal carcinoma, noninfiltrating NOS",Any malignancy,2
303099,1538C,COLON CARCINOMA,Any malignancy,2
63659,BBW6.00,[M]Juxtacortical chondrosarcoma,Any malignancy,2
58075,BBn1.11,"[M]Plasmacytoma, benign",Any malignancy,2
99931,ZV10019,[V]Personal history of malignant neoplasm of tongue,Any malignancy,2
52537,B161100,Malignant neoplasm of hepatic duct,Any malignancy,2
99951,B60z.00,Reticulosarcoma or lymphosarcoma NOS,Any malignancy,2
109342,B62z600,Unspec malig neop lymphoid/histiocytic of intrapelvic nodes,Any malignancy,2
92293,BBES.00,"[M]Spindle cell melanoma, type B",Any malignancy,2
3279,B831.00,Carcinoma in situ of cervix uteri,Any malignancy,2
4852,BB24.12,[M]Verrucous squamous cell carcinoma,Any malignancy,2
260779,B6y0.11,Myeloproliferative disease,Any malignancy,2
99797,BBX3.00,[M]Malignant giant cell tumour of soft parts,Any malignancy,2
100918,B073z00,Malignant neoplasm of anterior wall of nasopharynx NOS,Any malignancy,2
65180,B627800,Diffuse non-Hodgkin's lymphoma undifferentiated (diffuse),Any malignancy,2
29170,BB51000,[M]Adenocarcinoma in situ in villous adenoma,Any malignancy,2
100111,BB46.00,[M]Schneiderian carcinoma,Any malignancy,2
62380,B601200,Lymphosarcoma of intrathoracic lymph nodes,Any malignancy,2
38575,BB62100,[M]Apocrine adenocarcinoma,Any malignancy,2
59041,B500000,Malignant neoplasm of ciliary body,Any malignancy,2
99240,B600z00,Reticulosarcoma NOS,Any malignancy,2
104391,B627.11,Non-Hodgkin lymphoma,Any malignancy,2
37505,B800.11,Carcinoma in situ of oral cavity,Any malignancy,2
201870,1561A,MALIGNANT NEOPLASM EXTRAHEPATIC BILE DUC,Any malignancy,2
56718,B500z00,Malignant neoplasm of eyeball NOS,Any malignancy,2
60403,B303300,Malignant neoplasm of costal cartilage,Any malignancy,2
70380,B335000,Malignant neoplasm of skin of axillary fold,Any malignancy,2
62104,B300800,Malignant neoplasm of temporal bone,Any malignancy,2
206128,B313300,Malig neoplasm of connective and soft tissues of thor spine,Any malignancy,2
100267,BBZG.11,"[M]Adamantinoma, malignant",Any malignancy,2
101715,B616700,"Hodgkin's disease, lymphocytic depletion of spleen",Any malignancy,2
95715,B627900,Mucosa-associated lymphoma,Any malignancy,2
64557,B517000,Malignant neoplasm of cerebral peduncle,Any malignancy,2
54493,B303500,Malignant neoplasm of xiphoid process,Any malignancy,2
57450,B82y.00,Carcinoma in situ of other specified sites of skin,Any malignancy,2
5137,B624.11,Leukaemic reticuloendotheliosis,Any malignancy,2
73744,B322z00,Malignant melanoma of ear and external auricular canal NOS,Any malignancy,2
68161,B48y000,Malignant neoplasm of seminal vesicle,Any malignancy,2
37549,B05z000,Kaposi's sarcoma of palate,Any malignancy,2
37306,ZV10415,[V]Personal history of malignant neoplasm of prostate,Any malignancy,2
102145,B322100,Malignant melanoma of external auditory meatus,Any malignancy,2
100532,B622z00,Sezary's disease NOS,Any malignancy,2
45264,B620100,"Nodular lymphoma of lymph nodes of head, face and neck",Any malignancy,2
46536,B828000,Melanoma in situ of lip,Any malignancy,2
38488,B013z00,Malignant neoplasm of ventral tongue surface NOS,Any malignancy,2
94286,BBG8.11,[M]Congenital fibrosarcoma,Any malignancy,2
224115,B....11,Cancers,Any malignancy,2
37553,B007.00,"Malignant neoplasm of lip, unspecified",Any malignancy,2
61643,B151z00,Malignant neoplasm of intrahepatic bile ducts NOS,Any malignancy,2
297446,B651z00,Chronic myeloid leukaemia NOS,Any malignancy,2
40508,BBj6000,"[M]Hodgkin,s disease, nodular sclerosis, lymphocytic predom",Any malignancy,2
64796,BB82z00,[M]Mucinous adenoma or adenocarcinoma NOS,Any malignancy,2
12006,B621.00,Mycosis fungoides,Any malignancy,2
95016,B0z1.00,Malignant neoplasm of Waldeyer's ring,Any malignancy,2
219928,209 HM,HISTIOCYTIC MEDULLARY RETICULOSIS,Any malignancy,2
108719,B628600,Cutaneous follicle centre lymphoma,Any malignancy,2
36221,BB5Sz00,[M]Respiratory tract adenoma or adenocarcinoma NOS,Any malignancy,2
71946,B201300,Malignant neoplasm of mastoid air cells,Any malignancy,2
40749,Byu3.00,[X]Malignant neoplasm of bone and articular cartilage,Any malignancy,2
105889,B628000,Follicular lymphoma grade 1,Any malignancy,2
247123,2060,MONOCYTIC LEUKAEMIA ACUTE,Any malignancy,2
256336,1991NC,CYLINDROMA,Any malignancy,2
63518,BBLE.00,[M]Adenosarcoma,Any malignancy,2
61246,B327600,Malignant melanoma of heel,Any malignancy,2
29898,B832.00,Carcinoma in situ of other and unspecified parts of uterus,Any malignancy,2
18712,B4A..11,Renal malignant neoplasm,Any malignancy,2
24539,BBV2.00,[M]Chondroblastic osteosarcoma,Any malignancy,2
247125,2102MP,TUMOUR MIXED PAROTID,Any malignancy,2
15711,B510.00,Malignant neoplasm cerebrum (excluding lobes and ventricles),Any malignancy,2
29283,B2zy.00,Malignant neoplasm of other site of respiratory tract,Any malignancy,2
106654,B524W00,"Mal neoplasm/periph nerves+autonomic nervous system,unspc",Any malignancy,2
255675,ZV10611,[V]Personal history of lymphoid leukaemia,Any malignancy,2
215206,B64y.00,Other lymphoid leukaemia,Any malignancy,2
104025,B337600,Malignant neoplasm of skin of heel,Any malignancy,2
28625,BB71.00,[M]Mucoepidermoid carcinoma,Any malignancy,2
107638,B62z400,Unspec malig neop lymphoid/histiocytic lymph node axilla/arm,Any malignancy,2
66444,Byu2100,"[X]Malignant neoplasm/overlap lesion/heart,mediastinm+pleura",Any malignancy,2
67211,B523z00,Malignant neoplasm of spinal meninges NOS,Any malignancy,2
72212,B308200,Malignant neoplasm of calcaneum,Any malignancy,2
28599,BBJ1.00,[M]Liposarcoma NOS,Any malignancy,2
64427,B62z100,Unspec malig neop lymphoid/histiocytic lymph node head/neck,Any malignancy,2
54134,B223z00,"Malignant neoplasm of middle lobe, bronchus or lung NOS",Any malignancy,2
39923,B223100,Malignant neoplasm of middle lobe of lung,Any malignancy,2
104291,B61..11,Hodgkin lymphoma,Any malignancy,2
65159,B180100,Malignant neoplasm of perinephric tissue,Any malignancy,2
303154,2021,MYCOSIS FUNGOIDES,Any malignancy,2
33333,B62..00,Other malignant neoplasm of lymphoid and histiocytic tissue,Any malignancy,2
303156,2029CH,"LYMPHOMA, NON HODGKINS",Any malignancy,2
96280,4M72.00,Clark melanoma level 3,Any malignancy,2
30747,B336.00,Malignant neoplasm of skin of upper limb and shoulder,Any malignancy,2
21652,BB42.00,[M]Transitional cell carcinoma in situ,Any malignancy,2
105559,B62E100,"Anaplastic large cell lymphoma, ALK-positive",Any malignancy,2
274663,1541A,MALIGNANT NEOPLASM RECTUM,Any malignancy,2
69761,B00zz00,"Malignant neoplasm of lip, vermilion border NOS",Any malignancy,2
274665,1550BP,SARCOMA LIVER PRIMARY,Any malignancy,2
50299,B300900,Malignant neoplasm of zygomatic bone,Any malignancy,2
288179,B63z.00,Immunoproliferative neoplasm or myeloma NOS,Any malignancy,2
106884,B62F.00,Nonfollicular lymphoma,Any malignancy,2
45306,B324100,Malignant melanoma of neck,Any malignancy,2
38939,B613.00,"Hodgkin's disease, lymphocytic-histiocytic predominance",Any malignancy,2
105709,B62E600,Enteropathy-associated T-cell lymphoma,Any malignancy,2
31090,BBGP.00,[M]Pigmented dermatofibrosarcoma protuberans,Any malignancy,2
1481,B600.00,Reticulosarcoma,Any malignancy,2
44166,B80z.00,Carcinoma in situ of other and unspecified digestive organs,Any malignancy,2
265567,2049,LYMPHOCYTIC LEUKAEMIA,Any malignancy,2
67934,BBLA.00,"[M]Carcinosarcoma, embryonal type",Any malignancy,2
292883,1719LM,MALIGNANT LYMPHANGIOMA,Any malignancy,2
265564,2022AF,AFRICAN LYMPHOMA,Any malignancy,2
215151,B450000,Malignant neoplasm of Gartner's duct,Any malignancy,2
288132,B470300,Teratoma of undescended testis,Any malignancy,2
66270,B000000,"Malignant neoplasm of upper lip, external",Any malignancy,2
30576,B333300,Malignant neoplasm of skin of forehead,Any malignancy,2
242320,B311z00,Malig neop connective soft tissue upper limb/shoulder NOS,Any malignancy,2
39080,B803000,Carcinoma in situ of hepatic flexure of colon,Any malignancy,2
10864,B132.00,Malignant neoplasm of descending colon,Any malignancy,2
215205,B631.00,Plasma cell leukaemia,Any malignancy,2
31268,B223.00,"Malignant neoplasm of middle lobe, bronchus or lung",Any malignancy,2
288113,B308A00,Malignant neoplasm of third metatarsal bone,Any malignancy,2
31323,BBG1.00,[M]Fibrosarcoma NOS,Any malignancy,2
8032,BB5B.00,[M]Pancreatic adenomas and carcinomas,Any malignancy,2
36899,B327800,Malignant melanoma of toe,Any malignancy,2
237950,1890HM,HAMARTOMA FOETAL RENAL,Any malignancy,2
288100,B226.00,Mesothelioma,Any malignancy,2
274672,1608CM,SQUAMOUS CELL CARCINOMA FRONTAL & ETHMOI,Any malignancy,2
31399,B555.00,Malignant neoplasm of lower limb NOS,Any malignancy,2
26134,B064000,"Malignant neoplasm of epiglottis, free border",Any malignancy,2
61399,B510100,Malignant neoplasm of cerebral cortex,Any malignancy,2
292890,1841AN,MALIGNANT NEOPLASM CANAL OF NUCK,Any malignancy,2
31492,BBm9.00,[M] Monocytoid B-cell lymphoma,Any malignancy,2
73556,B305z00,Malignant neoplasm of hand bones NOS,Any malignancy,2
288096,B201z00,"Malig neop auditory tube, middle ear, mastoid air cells NOS",Any malignancy,2
53397,B61z.00,Hodgkin's disease NOS,Any malignancy,2
31546,B341.00,Malignant neoplasm of central part of female breast,Any malignancy,2
2744,B40..00,"Malignant neoplasm of uterus, part unspecified",Any malignancy,2
292877,1538AN,MALIGNANT NEOPLASM LARGE BOWEL NONRECTAL,Any malignancy,2
