medcode,readcode,readterm,cat,score,CC,TERMID,TERM60
90290,B18y700,Malignant neoplasm of mesentery,Any malignancy,2,XaEY9,Yaf44,Malignant neoplasm of mesentery
56490,B52z.00,Malignant neoplasm of nervous system NOS,Any malignancy,2,B52z.,Y7JmR,Malignant neoplasm of nervous system NOS
242313,B305600,Malignant neoplasm of carpal bone - capitate,Any malignancy,2,B3056,Y7JbR,Malignant neoplasm of carpal bone - capitate
62437,B62x400,Malignant reticulosis,Any malignancy,2,B62x4,00EBE,Malignant reticulosis
27617,B45y000,Malignant neoplasm of overlapping lesion of vulva,Any malignancy,2,B45y0,YMAnh,Malignant neoplasm of overlapping lesion of vulva
97200,B81y400,Carcinoma in situ of Eustachian tube,Any malignancy,2,B81y4,Y7JzP,Carcinoma in situ of Eustachian tube
44663,B800900,Carcinoma in situ of hypopharynx,Any malignancy,2,B8009,Y7Jzh,Carcinoma in situ of hypopharynx
19144,Byu4.00,[X]Melanoma and other malignant neoplasms of skin,Any malignancy,2,Byu4.,YMA8T,[X]Melanoma and other malignant neoplasms of skin
224240,B64z.00,Lymphoid leukaemia NOS,Any malignancy,2,B64z.,Y7JLS,Lymphoid leukaemia NOS
54182,B33z100,Naevoid basal cell carcinoma syndrome,Any malignancy,2,X78VL,Y7J5J,Naevoid basal cell carcinoma syndrome
260696,B312300,Malig neop of connective and soft tissue of lower leg,Any malignancy,2,B3123,Y7Jgl,Malig neop of connective and soft tissue of lower leg
215196,B615400,Hodgkin's mixed cellularity of lymph nodes of axilla and arm,Any malignancy,2,B6154,Y7JIr,Hodgkin's mixed cellularity of lymph nodes of axilla and arm
95792,B62zz00,Lymphoid and histiocytic malignancy NOS,Any malignancy,2,XE1vq,Y7JKx,Lymphoid and histiocytic malignancy NOS
107166,B628200,Follicular lymphoma grade 3,Any malignancy,2,XaZdD,Yav1g,Follicular lymphoma grade 3
297709,ByuD500,[X]Other lymphoid leukaemia,Any malignancy,2,ByuD5,YMA9L,[X]Other lymphoid leukaemia
58871,B623z00,Malignant histiocytosis NOS,Any malignancy,2,B623z,Y7JK2,Malignant histiocytosis NOS
36882,BB5X.00,[M]Clear cell adenomas and adenocarcinomas,Any malignancy,2,BB5X.,Y7GwT,[M]Clear cell adenomas and adenocarcinomas
27416,B601.00,Lymphosarcoma,Any malignancy,2,B601.,Y7HMK,Lymphosarcoma
12106,ZV10.00,[V]Personal history of malignant neoplasm,Any malignancy,2,ZV10.,Ya0dB,[V]Personal history of malignant neoplasm
29160,B313000,Malignant neoplasm of connective and soft tissue of axilla,Any malignancy,2,B3130,Y7Jgv,Malignant neoplasm of connective and soft tissue of axilla
33561,B803z00,Carcinoma in situ of colon NOS,Any malignancy,2,B803z,Y7K0u,Carcinoma in situ of colon NOS
288140,B51y100,Malignant neoplasm of tapetum,Any malignancy,2,B51y1,Y7Jlj,Malignant neoplasm of tapetum
297358,B312600,Malig neop of connective and soft tissue of great toe,Any malignancy,2,B3126,Y7Jgo,Malig neop of connective and soft tissue of great toe
22392,B807.00,Carcinoma in situ of other and unspecified small intestine,Any malignancy,2,B807.,Y7K0i,Carcinoma in situ of other and unspecified small intestine
269982,B600500,Reticulosarcoma of lymph nodes of inguinal region and leg,Any malignancy,2,B6005,Y7JHP,Reticulosarcoma of lymph nodes of inguinal region and leg
46568,B826.00,Carcinoma in situ of skin of upper limb and shoulder,Any malignancy,2,B826.,Y7K1p,Carcinoma in situ of skin of upper limb and shoulder
45139,B323400,Malignant melanoma of external surface of nose,Any malignancy,2,B3234,Y7JeA,Malignant melanoma of external surface of nose
48271,BBVz.00,[M]Osteoma or osteosarcoma NOS,Any malignancy,2,BBVz.,Y7HGE,[M]Osteoma or osteosarcoma NOS
65483,B614400,Hodgkin's nodular sclerosis of lymph nodes of axilla and arm,Any malignancy,2,B6144,Y7JIg,Hodgkin's nodular sclerosis of lymph nodes of axilla and arm
233282,B305700,Malignant neoplasm of carpal bone - hamate,Any malignancy,2,B3057,Y7JbS,Malignant neoplasm of carpal bone - hamate
55246,B20z.00,Malignant neoplasm of accessory sinus NOS,Any malignancy,2,B20z.,Y7JVt,Malignant neoplasm of accessory sinus NOS
251498,B308C00,Malignant neoplasm of fifth metatarsal bone,Any malignancy,2,B308C,Y7Jc1,Malignant neoplasm of fifth metatarsal bone
103178,BB3F.00,"[M]Basal cell carcinoma, infiltrative",Any malignancy,2,BB3F.,00EVq,"[M]Basal cell carcinoma, infiltrative"
28163,B13z.00,Malignant neoplasm of colon NOS,Any malignancy,2,XE1vV,Y7JZ8,Malignant neoplasm of colon NOS
107973,B628400,Follicular lymphoma grade 3b,Any malignancy,2,XaYim,Yav1k,Follicular lymphoma grade 3b
31576,B627B00,Other types of follicular non-Hodgkin's lymphoma,Any malignancy,2,B627B,Ya5Sf,Other types of follicular non-Hodgkin's lymphoma
68964,BBgA.00,"[M]Malignant lymphoma, centroblastic-centrocytic, diffuse",Any malignancy,2,BBgA.,YMIMB,"[M]Malignant lymphoma, centroblastic-centrocytic, diffuse"
29826,B342.00,Malignant neoplasm of upper-inner quadrant of female breast,Any malignancy,2,B342.,Y7JhP,Malignant neoplasm of upper-inner quadrant of female breast
7833,B830.00,Carcinoma in situ of breast,Any malignancy,2,B830.,Y7J6p,Carcinoma in situ of breast
73296,Byu3100,"[X]Malignant neoplasm/bones+articular cartilage/limb,unspfd",Any malignancy,2,Byu31,YMA8Q,"[X]Malignant neoplasm/bones+articular cartilage/limb,unspfd"
68039,B612400,Hodgkin's sarcoma of lymph nodes of axilla and upper limb,Any malignancy,2,B6124,Y7JIK,Hodgkin's sarcoma of lymph nodes of axilla and upper limb
260680,B2z0.00,"Malig neop of upper respiratory tract, part unspecified",Any malignancy,2,B2z0.,Y7JXS,"Malig neop of upper respiratory tract, part unspecified"
108037,B62z000,Unspec malig neop lymphoid/histiocytic of unspecified site,Any malignancy,2,B62z0,Y7JKo,Unspec malig neop lymphoid/histiocytic of unspecified site
20564,BB11.00,[M]Carcinoma in situ NOS,Any malignancy,2,BB11.,YaXGs,[M]Carcinoma in situ NOS
33869,BBgR.00,"[M]Malignant lymphoma, large cell, diffuse NOS",Any malignancy,2,BBgR.,YMB9u,"[M]Malignant lymphoma, large cell, diffuse NOS"
50297,B411.00,Malignant neoplasm of exocervix,Any malignancy,2,B411.,Y7Jib,Malignant neoplasm of exocervix
72947,B802100,Carcinoma in situ of fundus of stomach,Any malignancy,2,B8021,Y7Ir3,Carcinoma in situ of fundus of stomach
35180,Byu1.00,[X]Malignant neoplasm of digestive organs,Any malignancy,2,Byu1.,YMA8C,[X]Malignant neoplasm of digestive organs
58124,B8y0.00,Carcinoma in situ of eye,Any malignancy,2,B8y0.,Y7K3I,Carcinoma in situ of eye
37501,B808200,Carcinoma in situ of hepatic duct,Any malignancy,2,B8082,Y7K1B,Carcinoma in situ of hepatic duct
233336,B612800,Hodgkin's sarcoma of lymph nodes of multiple sites,Any malignancy,2,B6128,Y7JIO,Hodgkin's sarcoma of lymph nodes of multiple sites
53629,B325200,Malignant melanoma of buttock,Any malignancy,2,B3252,Y7JeK,Malignant melanoma of buttock
100781,ByuF300,[X]Carcinoma in situ of other parts of respiratory system,Any malignancy,2,ByuF3,YMA9c,[X]Carcinoma in situ of other parts of respiratory system
48809,B35zz00,Malignant neoplasm of male breast NOS,Any malignancy,2,B35zz,Y7JhI,Malignant neoplasm of male breast NOS
55116,BBFz.00,[M]Soft tissue tumour or sarcoma NOS,Any malignancy,2,BBFz.,Y7HBS,[M]Soft tissue tumour or sarcoma NOS
269984,B610700,Hodgkin's paragranuloma of spleen,Any malignancy,2,B6107,Y7JI1,Hodgkin's paragranuloma of spleen
108866,4M74.00,Clark melanoma level 5,Any malignancy,2,XSHw8,YSSvo,Clark melanoma level 5
90339,B826z00,Carcinoma in situ of skin of upper limb or shoulder NOS,Any malignancy,2,B826z,Y7K1u,Carcinoma in situ of skin of upper limb or shoulder NOS
32955,B41y.00,Malignant neoplasm of other site of cervix,Any malignancy,2,B41y.,Y7Jic,Malignant neoplasm of other site of cervix
108667,B1z1000,Angiosarcoma of spleen,Any malignancy,2,B1z10,Y7JMI,Angiosarcoma of spleen
67506,B614200,Hodgkin's nodular sclerosis of intrathoracic lymph nodes,Any malignancy,2,B6142,Y7JIe,Hodgkin's nodular sclerosis of intrathoracic lymph nodes
95012,B621800,Mycosis fungoides of lymph nodes of multiple sites,Any malignancy,2,B6218,Y7JJf,Mycosis fungoides of lymph nodes of multiple sites
47330,BBm2.00,[M]Histiocytic medullary reticulosis,Any malignancy,2,BBm2.,YMHqq,[M]Histiocytic medullary reticulosis
42426,B511.00,Malignant neoplasm of frontal lobe,Any malignancy,2,B511.,Y7JlQ,Malignant neoplasm of frontal lobe
68027,ByuA000,[X]Malignant neoplasm/other and unspecified cranial nerves,Any malignancy,2,ByuA0,YMA8y,[X]Malignant neoplasm/other and unspecified cranial nerves
51353,BBE1000,"[M]Malignant melanoma, regressing",Any malignancy,2,BBE10,00Ede,"[M]Malignant melanoma, regressing"
67236,B512000,Malignant neoplasm of hippocampus,Any malignancy,2,B5120,Y7JlS,Malignant neoplasm of hippocampus
64345,B311100,"Malignant neoplasm of connective and soft tissue, upper arm",Any malignancy,2,B3111,Y7Jga,"Malignant neoplasm of connective and soft tissue, upper arm"
54133,B510z00,Malignant neoplasm of cerebrum NOS,Any malignancy,2,B510z,Y7JlP,Malignant neoplasm of cerebrum NOS
288135,B4A0000,Hypernephroma,Any malignancy,2,B4A00,Y7GxR,Hypernephroma
30988,BB1M.00,"[M]Small cell carcinoma, intermediate cell",Any malignancy,2,BB1M.,00EUo,"[M]Small cell carcinoma, intermediate cell"
49875,B52X.00,"Malignant neoplasm of meninges, unspecified",Any malignancy,2,B52X.,00E3Y,"Malignant neoplasm of meninges, unspecified"
102949,B312000,Malignant neoplasm of connective and soft tissue of hip,Any malignancy,2,B3120,YM0iV,Malignant neoplasm of connective and soft tissue of hip
279058,B602400,Burkitt's lymphoma of lymph nodes of axilla and upper limb,Any malignancy,2,B6024,Y7JHk,Burkitt's lymphoma of lymph nodes of axilla and upper limb
60526,B336z00,Malignant neoplasm of skin of upper limb or shoulder NOS,Any malignancy,2,B336z,Y7Jcj,Malignant neoplasm of skin of upper limb or shoulder NOS
69104,B305100,Malignant neoplasm of carpal bone - lunate,Any malignancy,2,B3051,Y7JbM,Malignant neoplasm of carpal bone - lunate
54202,B35z.00,Malignant neoplasm of other site of male breast,Any malignancy,2,B35z.,Y7JhG,Malignant neoplasm of other site of male breast
46877,BBgL.00,"[M]Malignant lymphoma, small lymphocytic NOS",Any malignancy,2,BBgL.,YMB9n,"[M]Malignant lymphoma, small lymphocytic NOS"
251581,B67y.00,Other and unspecified leukaemia,Any malignancy,2,B67y.,Y7JM6,Other and unspecified leukaemia
242389,B641.00,Chronic lymphoid leukaemia,Any malignancy,2,B641.,Y7HO8,Chronic lymphoid leukaemia
93402,7G05D00,Excision biopsy of basal cell carcinoma,Any malignancy,2,7G056,YaqZ9,Excision biopsy of basal cell carcinoma
49132,B517100,Malignant neoplasm of medulla oblongata,Any malignancy,2,B5171,Y7Jld,Malignant neoplasm of medulla oblongata
108775,B619.00,Mixed cellularity classical Hodgkin lymphoma,Any malignancy,2,B619.,00E8a,Mixed cellularity classical Hodgkin lymphoma
65222,B823600,Carcinoma in situ of skin of jaw,Any malignancy,2,B8236,Y7K1Y,Carcinoma in situ of skin of jaw
876,B33..11,Basal cell carcinoma,Any malignancy,2,Xa98G,Y7GvT,Basal cell carcinoma
61149,B614300,Hodgkin's nodular sclerosis of intra-abdominal lymph nodes,Any malignancy,2,B6143,Y7JIf,Hodgkin's nodular sclerosis of intra-abdominal lymph nodes
16967,B432.00,Malignant neoplasm of overlapping lesion of corpus uteri,Any malignancy,2,B432.,YMAnb,Malignant neoplasm of overlapping lesion of corpus uteri
50298,B300500,Malignant neoplasm of orbital bone,Any malignancy,2,B3005,Y7Jaq,Malignant neoplasm of orbital bone
224163,B314z00,Malig neop of connective and soft tissue of abdomen NOS,Any malignancy,2,B314z,Y7Jh0,Malig neop of connective and soft tissue of abdomen NOS
95323,B35z000,Malignant neoplasm of ectopic site of male breast,Any malignancy,2,B35z0,Y7JhH,Malignant neoplasm of ectopic site of male breast
69601,B827200,Carcinoma in situ of skin of knee,Any malignancy,2,B8272,Y7K1z,Carcinoma in situ of skin of knee
51656,BB81E00,[M]Mucinous cystadenocarcinoma NOS,Any malignancy,2,BB81E,Y7H33,[M]Mucinous cystadenocarcinoma NOS
28451,B08z.00,Malignant neoplasm of hypopharynx NOS,Any malignancy,2,B08z.,Y7JVE,Malignant neoplasm of hypopharynx NOS
109002,B325400,Malignant melanoma of perianal skin,Any malignancy,2,B3254,Y7JeM,Malignant melanoma of perianal skin
66607,BBL4.00,"[M]Mixed tumour, malignant, NOS",Any malignancy,2,BBL4.,YMHhn,"[M]Mixed tumour, malignant, NOS"
107299,BB5D700,[M]Combined hepatocellular carcinoma and cholangiocarcinoma,Any malignancy,2,BB5D7,YMHhW,[M]Combined hepatocellular carcinoma and cholangiocarcinoma
61064,B24X.00,"Malignant neoplasm of mediastinum, part unspecified",Any malignancy,2,B24X.,00Dv9,"Malignant neoplasm of mediastinum, part unspecified"
53803,ByuFG00,[X]Other carcinoma in situ of breast,Any malignancy,2,ByuFG,YMA9p,[X]Other carcinoma in situ of breast
40557,B01z.00,Malignant neoplasm of tongue NOS,Any malignancy,2,B01z.,Y7JRt,Malignant neoplasm of tongue NOS
288161,B610600,Hodgkin's paragranuloma of intrapelvic lymph nodes,Any malignancy,2,B6106,Y7JI0,Hodgkin's paragranuloma of intrapelvic lymph nodes
25886,B222100,Malignant neoplasm of upper lobe of lung,Any malignancy,2,B2221,Y7JWK,Malignant neoplasm of upper lobe of lung
98540,B808z00,Carcinoma in situ of liver or biliary system NOS,Any malignancy,2,B808z,Y7K14,Carcinoma in situ of liver or biliary system NOS
66422,B074.00,"Malignant neoplasm, overlapping lesion of nasopharynx",Any malignancy,2,B074.,YMAyL,"Malignant neoplasm, overlapping lesion of nasopharynx"
63286,BBN5.00,[M]Clear cell sarcoma of tendons and aponeuroses,Any malignancy,2,BBN5.,YM0t4,[M]Clear cell sarcoma of tendons and aponeuroses
65584,BBj1000,"[M]Hodgkin,s disease, lymphocytic predominance, diffuse",Any malignancy,2,BBj10,YMIh9,"[M]Hodgkin,s disease, lymphocytic predominance, diffuse"
57719,B41y100,Malignant neoplasm of squamocolumnar junction of cervix,Any malignancy,2,B41y1,Y7Jie,Malignant neoplasm of squamocolumnar junction of cervix
56355,B066.00,Malignant neoplasm of lateral wall of oropharynx,Any malignancy,2,B066.,Y7JUU,Malignant neoplasm of lateral wall of oropharynx
19321,B311300,Malignant neoplasm of connective and soft tissue of hand,Any malignancy,2,B3113,Y7JgY,Malignant neoplasm of connective and soft tissue of hand
279085,B652.00,Subacute myeloid leukaemia,Any malignancy,2,B652.,Y7HOW,Subacute myeloid leukaemia
66267,BBm..00,[M]Miscellaneous reticuloendothelial neoplasms,Any malignancy,2,BBm..,Y7HNC,[M]Miscellaneous reticuloendothelial neoplasms
102158,B625200,Letterer-Siwe disease of intrathoracic lymph nodes,Any malignancy,2,B6252,Y7JKJ,Letterer-Siwe disease of intrathoracic lymph nodes
24375,B339.00,Dermatofibrosarcoma protuberans,Any malignancy,2,Xa0D9,Y7H9C,Dermatofibrosarcoma protuberans
31393,B160.11,Carcinoma gallbladder,Any malignancy,2,X78gY,Y7JZt,Carcinoma gallbladder
55588,Byu7300,"[X]Malignant neoplasm of female genital organ, unspecified",Any malignancy,2,Byu73,YMA8q,"[X]Malignant neoplasm of female genital organ, unspecified"
23861,B551100,Malignant neoplasm of chest wall NOS,Any malignancy,2,B5511,Y7Jtl,Malignant neoplasm of chest wall NOS
94083,BB5P.00,[M]Solid carcinoma NOS,Any malignancy,2,BB5P.,YaXH3,[M]Solid carcinoma NOS
31561,ZV67600,[V]Follow-up examination aft surgery for malignant neoplasm,Any malignancy,2,ZV676,YM9nW,[V]Follow-up examination aft surgery for malignant neoplasm
206197,B621600,Mycosis fungoides of intrapelvic lymph nodes,Any malignancy,2,B6216,Y7JJd,Mycosis fungoides of intrapelvic lymph nodes
73510,B550500,Malignant neoplasm of supraclavicular fossa NOS,Any malignancy,2,B5505,Y7Jtd,Malignant neoplasm of supraclavicular fossa NOS
242322,B314100,Malig neoplasm of connective and soft tissues of lumb spine,Any malignancy,2,B3141,Y7Jgz,Malig neoplasm of connective and soft tissues of lumb spine
14800,B11z.00,Malignant neoplasm of stomach NOS,Any malignancy,2,B11z.,Y7JYU,Malignant neoplasm of stomach NOS
93951,B613500,"Hodgkin's, lymphocytic-histiocytic pred inguinal and leg",Any malignancy,2,B6135,Y7JIW,"Hodgkin's, lymphocytic-histiocytic pred inguinal and leg"
260754,B613400,"Hodgkin's, lymphocytic-histiocytic pred axilla and arm",Any malignancy,2,B6134,Y7JIV,"Hodgkin's, lymphocytic-histiocytic pred axilla and arm"
10387,B830000,Lobular carcinoma in situ of breast,Any malignancy,2,X78WV,Y7J6r,Lobular carcinoma in situ of breast
34110,BB5R100,"[M]Carcinoid tumour, malignant",Any malignancy,2,BB5R1,Y7GzA,"[M]Carcinoid tumour, malignant"
101086,B520z00,Malignant neoplasm of cranial nerves NOS,Any malignancy,2,B520z,Y7JmI,Malignant neoplasm of cranial nerves NOS
74896,B161z00,Malignant neoplasm of extrahepatic bile ducts NOS,Any malignancy,2,B161z,Y7Ja4,Malignant neoplasm of extrahepatic bile ducts NOS
215166,B524X00,"Malignant neoplasm/peripheral nerves of trunk,unspecified",Any malignancy,2,B524X,00E3V,"Malignant neoplasm/peripheral nerves of trunk,unspecified"
105388,B498.00,Local recurrence of malignant tumour of urinary bladder,Any malignancy,2,XaFrL,Yah22,Local recurrence of malignant tumour of urinary bladder
12335,B62y.00,Malignant lymphoma NOS,Any malignancy,2,B62y.,Y7JKc,Malignant lymphoma NOS
215210,B653z00,Myeloid sarcoma NOS,Any malignancy,2,B653z,Y7JLe,Myeloid sarcoma NOS
28919,B521.00,Malignant neoplasm of cerebral meninges,Any malignancy,2,B521.,Y7Jm6,Malignant neoplasm of cerebral meninges
105472,B614700,"Hodgkin's disease, nodular sclerosis of spleen",Any malignancy,2,B6147,Y7JIj,"Hodgkin's disease, nodular sclerosis of spleen"
98596,ByuD200,[X]Other types of diffuse non-Hodgkin's lymphoma,Any malignancy,2,ByuD2,YMA9I,[X]Other types of diffuse non-Hodgkin's lymphoma
42569,B2zz.00,Malignant neoplasm of respiratory tract NOS,Any malignancy,2,B2zz.,Y7JXT,Malignant neoplasm of respiratory tract NOS
279000,B305900,Malignant neoplasm of second metacarpal bone,Any malignancy,2,B3059,Y7JbV,Malignant neoplasm of second metacarpal bone
104973,BB62z00,[M]Apocrine adenoma or adenocarcinoma NOS,Any malignancy,2,BB62z,Y7H1d,[M]Apocrine adenoma or adenocarcinoma NOS
43781,B011z00,Malignant neoplasm of dorsum of tongue NOS,Any malignancy,2,B011z,Y7JRS,Malignant neoplasm of dorsum of tongue NOS
93218,B03z.00,Malignant neoplasm of gum NOS,Any malignancy,2,B03z.,Y7JS7,Malignant neoplasm of gum NOS
93478,B138.00,"Malignant neoplasm, overlapping lesion of colon",Any malignancy,2,B138.,YMAyZ,"Malignant neoplasm, overlapping lesion of colon"
27311,B835.00,Carcinoma in situ of penis,Any malignancy,2,B835.,Y7Jjf,Carcinoma in situ of penis
260693,B308900,Malignant neoplasm of second metatarsal bone,Any malignancy,2,B3089,Y7Jby,Malignant neoplasm of second metatarsal bone
60275,BBgJ.00,"[M]Malignant lymphoma, centroblastic type NOS",Any malignancy,2,BBgJ.,Y7HMF,"[M]Malignant lymphoma, centroblastic type NOS"
45490,B430z00,Malignant neoplasm of corpus uteri NOS,Any malignancy,2,B430z,Y7JiN,Malignant neoplasm of corpus uteri NOS
105375,B62E800,Blastic NK-cell lymphoma,Any malignancy,2,B62E8,00EAz,Blastic NK-cell lymphoma
101198,4M70.00,Clark melanoma level 1,Any malignancy,2,XSHw4,YSSvk,Clark melanoma level 1
86812,B305D00,Malignant neoplasm of phalanges of hand,Any malignancy,2,B305D,Y7JbZ,Malignant neoplasm of phalanges of hand
242377,B624200,Leukaemic reticuloendotheliosis of intrathoracic lymph nodes,Any malignancy,2,B6242,Y7JK6,Leukaemic reticuloendotheliosis of intrathoracic lymph nodes
46114,B0z..00,"Malig neop other/ill-defined sites lip, oral cavity, pharynx",Any malignancy,2,B0z..,Y7JQ1,"Malig neop other/ill-defined sites lip, oral cavity, pharynx"
8693,B5...11,Carcinoma of other and unspecified sites,Any malignancy,2,X78lF,Y7Jxw,Carcinoma of other and unspecified sites
36031,BB5D.00,[M]Hepatobiliary tract adenomas and carcinomas,Any malignancy,2,BB5D.,Y7H1A,[M]Hepatobiliary tract adenomas and carcinomas
59823,B542.00,Malignant neoplasm pituitary gland and craniopharyngeal duct,Any malignancy,2,B542.,Y7Jny,Malignant neoplasm pituitary gland and craniopharyngeal duct
251497,B308600,Malignant neoplasm of cuboid,Any malignancy,2,B3086,Y7Jbv,Malignant neoplasm of cuboid
35285,ByuA.00,"[X]Malignant neoplasm of eye, brain and other parts of cent",Any malignancy,2,ByuA.,YMA8x,"[X]Malignant neoplasm of eye, brain and other parts of cent"
33734,BBEz.00,[M]Naevi or melanoma NOS,Any malignancy,2,BBEz.,Y7H7L,[M]Naevi or melanoma NOS
41011,B3z..00,"Malig neop of bone, connective tissue, skin and breast NOS",Any malignancy,2,B3z..,Y7JPs,"Malig neop of bone, connective tissue, skin and breast NOS"
7761,1425000,H/O Malignant melanoma,Any malignancy,2,14250,Ya2H7,H/O Malignant melanoma
94975,B241300,Malignant neoplasm of pericardium,Any malignancy,2,B2413,Y7JX9,Malignant neoplasm of pericardium
279074,B625400,Letterer-Siwe disease of lymph nodes of axilla and arm,Any malignancy,2,B6254,Y7JKL,Letterer-Siwe disease of lymph nodes of axilla and arm
60918,4M20.00,Lymphoma stage I,Any malignancy,2,XaImp,YalKr,Lymphoma stage I
16931,B80z000,Carcinoma in situ of pancreas,Any malignancy,2,B80z0,Y7K1G,Carcinoma in situ of pancreas
89916,B553100,Malignant neoplasm of presacral region,Any malignancy,2,B5531,Y7Jtt,Malignant neoplasm of presacral region
288167,B615300,Hodgkin's mixed cellularity of intra-abdominal lymph nodes,Any malignancy,2,B6153,Y7JIq,Hodgkin's mixed cellularity of intra-abdominal lymph nodes
224239,B64..00,Lymphoid leukaemia,Any malignancy,2,B64..,Y7JLK,Lymphoid leukaemia
288157,B600200,Reticulosarcoma of intrathoracic lymph nodes,Any malignancy,2,B6002,Y7JHM,Reticulosarcoma of intrathoracic lymph nodes
260773,B630100,Solitary myeloma,Any malignancy,2,B6301,00EBm,Solitary myeloma
45766,Byu1200,"[X]Malignant neoplasm of intestinal tract, part unspecified",Any malignancy,2,Byu12,YMA8F,"[X]Malignant neoplasm of intestinal tract, part unspecified"
69301,BBg5.00,"[M]Malignant lymphoma, convoluted cell type NOS",Any malignancy,2,BBg5.,Y7HLj,"[M]Malignant lymphoma, convoluted cell type NOS"
206090,B023.00,"Malignant neoplasm, overlapping lesion of major saliv gland",Any malignancy,2,B023.,YMAyV,"Malignant neoplasm, overlapping lesion of major saliv gland"
91035,B010z00,Malignant neoplasm of fixed part of tongue NOS,Any malignancy,2,B010z,YM1hf,Malignant neoplasm of fixed part of tongue NOS
35357,B14..00,"Malignant neoplasm of rectum, rectosigmoid junction and anus",Any malignancy,2,B14..,Y7JZP,"Malignant neoplasm of rectum, rectosigmoid junction and anus"
105083,B62D.00,Histiocytic sarcoma,Any malignancy,2,B62D.,00EAm,Histiocytic sarcoma
46728,B064.00,Malignant neoplasm of anterior epiglottis,Any malignancy,2,B064.,Y7JVp,Malignant neoplasm of anterior epiglottis
101707,B001z00,"Malignant neoplasm of lower lip, vermilion border NOS",Any malignancy,2,B001z,Y7JQW,"Malignant neoplasm of lower lip, vermilion border NOS"
233345,B624400,Leukaemic reticuloend of lymph nodes of axilla and arm,Any malignancy,2,B6244,Y7JK8,Leukaemic reticuloend of lymph nodes of axilla and arm
15504,B62y800,Malignant lymphoma NOS of lymph nodes of multiple sites,Any malignancy,2,B62y8,Y7JKl,Malignant lymphoma NOS of lymph nodes of multiple sites
22894,B110100,Malignant neoplasm of cardio-oesophageal junction of stomach,Any malignancy,2,B1101,Y7JY1,Malignant neoplasm of cardio-oesophageal junction of stomach
91674,B621300,Mycosis fungoides of intra-abdominal lymph nodes,Any malignancy,2,B6213,Y7JJa,Mycosis fungoides of intra-abdominal lymph nodes
59362,B451z00,Malignant neoplasm of labia majora NOS,Any malignancy,2,B451z,Y7Jj2,Malignant neoplasm of labia majora NOS
17144,B803300,Carcinoma in situ of sigmoid colon,Any malignancy,2,B8033,Y7IsP,Carcinoma in situ of sigmoid colon
19334,BBL9.00,[M]Carcinosarcoma NOS,Any malignancy,2,BBL9.,Y7HBv,[M]Carcinosarcoma NOS
297352,B305200,Malignant neoplasm of carpal bone - triquetrum,Any malignancy,2,B3052,Y7JbN,Malignant neoplasm of carpal bone - triquetrum
91900,B61z400,Hodgkin's disease NOS of lymph nodes of axilla and arm,Any malignancy,2,B61z4,Y7JJC,Hodgkin's disease NOS of lymph nodes of axilla and arm
233347,B624600,Leukaemic reticuloendotheliosis of intrapelvic lymph nodes,Any malignancy,2,B6246,Y7JKA,Leukaemic reticuloendotheliosis of intrapelvic lymph nodes
73530,B305.00,Malignant neoplasm of hand bones,Any malignancy,2,XE1ve,Y7JbJ,Malignant neoplasm of hand bones
251580,B653000,Chloroma,Any malignancy,2,B6530,Y7HOz,Chloroma
7941,BBW4.00,[M]Chondrosarcoma NOS,Any malignancy,2,BBW4.,Y7HGZ,[M]Chondrosarcoma NOS
233332,B610000,Hodgkin's paragranuloma of unspecified site,Any malignancy,2,B6100,Y7JHu,Hodgkin's paragranuloma of unspecified site
22163,B134.11,Carcinoma of caecum,Any malignancy,2,X78gM,Y7JYl,Carcinoma of caecum
55101,B553z00,Malignant neoplasm of pelvis NOS,Any malignancy,2,B553z,Y7Jtv,Malignant neoplasm of pelvis NOS
15182,B31z.00,"Malignant neoplasm of connective and soft tissue, site NOS",Any malignancy,2,B31z.,Y7Jh9,"Malignant neoplasm of connective and soft tissue, site NOS"
96183,BBj4.00,"[M]Hodgkin's disease,lymphocytic depletion,diffuse fibrosis",Any malignancy,2,BBj4.,YMIhB,"[M]Hodgkin's disease,lymphocytic depletion,diffuse fibrosis"
260750,B610800,Hodgkin's paragranuloma of lymph nodes of multiple sites,Any malignancy,2,B6108,Y7JI2,Hodgkin's paragranuloma of lymph nodes of multiple sites
104939,B64y500,Adult T-cell lymphoma/leukaemia (HTLV-1-associated),Any malignancy,2,B64y5,00ECG,Adult T-cell lymphoma/leukaemia (HTLV-1-associated)
288185,B67yz00,Other and unspecified leukaemia NOS,Any malignancy,2,B67yz,Y7JM7,Other and unspecified leukaemia NOS
43614,B30X.00,"Malignant neoplasm/bones+articular cartilage/limb,unspfd",Any malignancy,2,B30X.,00Dwn,"Malignant neoplasm/bones+articular cartilage/limb,unspfd"
242338,B471100,Teratoma of descended testis,Any malignancy,2,XaELL,Yaemq,Teratoma of descended testis
92720,B243.00,Malignant neoplasm of posterior mediastinum,Any malignancy,2,B243.,Y7JXI,Malignant neoplasm of posterior mediastinum
51255,B1zz.00,Malignant neoplasm of digestive tract and peritoneum NOS,Any malignancy,2,B1zz.,Y7JPy,Malignant neoplasm of digestive tract and peritoneum NOS
58082,B620800,Nodular lymphoma of lymph nodes of multiple sites,Any malignancy,2,B6208,Y7JJU,Nodular lymphoma of lymph nodes of multiple sites
